OrderID	ProductID	Quantity
1	2	3
2	12	1
3	6	4
4	6	2
5	4	3
6	5	1
7	5	1
8	2	2
9	3	4
10	11	4
11	6	2
12	5	2
13	5	3
14	5	1
15	12	1
16	7	1
17	6	4
18	3	3
19	5	1
20	9	4
21	2	1
22	2	3
23	9	4
24	9	1
25	2	2
26	9	2
27	13	3
28	12	3
29	12	1
30	12	1
31	6	2
32	12	1
33	8	4
34	4	2
35	13	3
36	5	2
37	10	4
38	8	1
39	4	4
40	3	1
41	4	2
42	2	2
43	1	4
44	12	1
45	8	4
46	5	2
47	2	4
48	8	4
49	10	4
50	4	3
51	6	3
52	11	1
53	5	2
54	7	1
55	12	1
56	7	2
57	5	3
58	9	3
59	5	2
60	4	4
61	7	1
62	13	4
63	3	3
64	4	2
65	4	4
66	5	1
67	13	1
68	12	3
69	2	4
70	13	1
71	5	2
72	11	3
73	11	2
74	12	3
75	11	2
76	9	2
77	9	4
78	8	2
79	5	3
80	6	2
81	12	3
82	6	2
83	4	2
84	12	4
85	10	4
86	3	3
87	2	3
88	5	1
89	3	3
90	3	1
91	10	2
92	1	1
93	12	3
94	1	3
95	2	1
96	9	3
97	11	3
98	10	4
99	8	1
100	11	4
101	10	2
102	11	1
103	6	4
104	9	2
105	8	3
106	12	2
107	3	3
108	9	4
109	2	3
110	8	4
111	3	2
112	6	1
113	6	4
114	4	4
