CustomerID	OrderDate	RequiredDate	OrderStatus	EmployeeID
1	9/30/2020 23:07	10/7/2020 0:00	Fulfilled	1
2	10/1/2020 1:29	10/8/2020 0:00	Fulfilled	2
3	10/7/2020 2:06	10/14/2020 0:00	Fulfilled	8
4	10/13/2020 6:49	10/20/2020 0:00	Fulfilled	9
5	10/18/2020 10:08	10/25/2020 0:00	Fulfilled	3
6	10/28/2020 6:52	11/4/2020 0:00	Fulfilled	9
7	11/17/2020 7:31	11/24/2020 0:00	Fulfilled	9
8	11/20/2020 20:14	11/27/2020 0:00	Fulfilled	7
9	12/6/2020 21:11	12/13/2020 0:00	Fulfilled	7
10	12/12/2020 1:44	12/19/2020 0:00	Fulfilled	8
11	12/12/2020 21:18	12/19/2020 0:00	Fulfilled	8
12	12/15/2020 11:50	12/22/2020 0:00	Fulfilled	5
13	12/18/2020 19:10	12/25/2020 0:00	Fulfilled	12
14	12/23/2020 7:52	12/30/2020 0:00	Fulfilled	9
15	12/26/2020 13:37	1/2/2021 0:00	Fulfilled	1
16	12/26/2020 22:52	1/2/2021 0:00	Fulfilled	8
17	12/28/2020 4:11	1/4/2021 0:00	Fulfilled	8
18	12/28/2020 18:51	1/4/2021 0:00	Fulfilled	2
19	12/31/2020 23:07	1/7/2021 0:00	Fulfilled	8
20	1/2/2021 4:49	1/9/2021 0:00	Fulfilled	10
21	1/4/2021 20:19	1/11/2021 0:00	Fulfilled	6
22	1/7/2021 6:58	1/14/2021 0:00	Fulfilled	10
23	1/14/2021 19:50	1/21/2021 0:00	Fulfilled	9
24	1/15/2021 7:47	1/22/2021 0:00	Fulfilled	5
25	1/21/2021 22:52	1/28/2021 0:00	Fulfilled	1
26	1/24/2021 12:34	1/31/2021 0:00	Fulfilled	11
27	2/6/2021 3:10	2/13/2021 0:00	Fulfilled	11
28	2/8/2021 17:17	2/15/2021 0:00	Fulfilled	9
29	2/14/2021 8:25	2/21/2021 0:00	Fulfilled	4
30	2/20/2021 6:00	2/27/2021 0:00	Fulfilled	2
31	2/21/2021 18:12	2/28/2021 0:00	Fulfilled	8
32	2/25/2021 5:18	3/4/2021 0:00	Fulfilled	11
33	2/25/2021 14:50	3/4/2021 0:00	Fulfilled	3
34	3/16/2021 19:26	3/23/2021 0:00	Fulfilled	1
35	3/17/2021 1:56	3/24/2021 0:00	Fulfilled	12
36	3/24/2021 7:26	3/31/2021 0:00	Fulfilled	5
37	3/26/2021 7:23	4/2/2021 0:00	Fulfilled	6
38	3/31/2021 8:51	4/7/2021 0:00	Fulfilled	4
39	4/2/2021 0:19	4/9/2021 0:00	Fulfilled	5
40	4/3/2021 4:36	4/10/2021 0:00	Fulfilled	9
41	4/19/2021 13:29	4/26/2021 0:00	Fulfilled	11
42	4/29/2021 10:52	5/6/2021 0:00	Fulfilled	6
43	4/29/2021 15:05	5/6/2021 0:00	Fulfilled	1
44	5/7/2021 18:30	5/14/2021 0:00	Fulfilled	6
45	5/11/2021 13:11	5/18/2021 0:00	Fulfilled	3
46	5/12/2021 9:14	5/19/2021 0:00	Fulfilled	4
47	5/15/2021 16:23	5/22/2021 0:00	Fulfilled	1
48	5/16/2021 13:40	5/23/2021 0:00	Fulfilled	4
49	5/28/2021 17:38	6/4/2021 0:00	Fulfilled	2
50	6/10/2021 13:00	6/17/2021 0:00	Fulfilled	8
51	6/12/2021 19:31	6/19/2021 0:00	Fulfilled	1
52	6/16/2021 4:14	6/23/2021 0:00	Fulfilled	3
53	6/17/2021 23:58	6/24/2021 0:00	Fulfilled	3
54	6/18/2021 20:26	6/25/2021 0:00	Fulfilled	1
55	6/26/2021 20:51	7/3/2021 0:00	Fulfilled	2
56	6/29/2021 0:24	7/6/2021 0:00	Fulfilled	5
57	7/2/2021 6:50	7/9/2021 0:00	Fulfilled	2
58	7/3/2021 14:58	7/10/2021 0:00	Fulfilled	10
59	7/6/2021 5:25	7/13/2021 0:00	Fulfilled	1
60	7/8/2021 8:13	7/15/2021 0:00	Fulfilled	3
61	7/12/2021 6:48	7/19/2021 0:00	Fulfilled	10
62	7/19/2021 11:15	7/26/2021 0:00	Fulfilled	7
63	7/21/2021 7:13	7/28/2021 0:00	Fulfilled	10
64	7/25/2021 21:51	8/1/2021 0:00	Fulfilled	2
65	7/28/2021 13:38	8/4/2021 0:00	Fulfilled	1
66	8/1/2021 20:38	8/8/2021 0:00	Fulfilled	8
67	8/6/2021 5:19	8/13/2021 0:00	Fulfilled	4
68	8/8/2021 2:12	8/15/2021 0:00	Fulfilled	6
69	8/11/2021 18:17	8/18/2021 0:00	Fulfilled	1
70	8/12/2021 11:04	8/19/2021 0:00	Fulfilled	7
71	8/16/2021 10:16	8/23/2021 0:00	Fulfilled	1
72	8/17/2021 1:03	8/24/2021 0:00	Fulfilled	3
73	8/21/2021 19:42	8/28/2021 0:00	Fulfilled	3
74	9/2/2021 17:48	9/9/2021 0:00	Fulfilled	5
75	9/4/2021 22:47	9/11/2021 0:00	Fulfilled	7
76	9/14/2021 1:42	9/21/2021 0:00	Fulfilled	5
77	9/14/2021 19:47	9/21/2021 0:00	Fulfilled	10
78	9/17/2021 0:46	9/24/2021 0:00	Fulfilled	11
79	9/17/2021 15:03	9/24/2021 0:00	Fulfilled	2
80	9/23/2021 14:19	9/30/2021 0:00	Fulfilled	2
81	9/25/2021 14:32	10/2/2021 0:00	Fulfilled	5
82	9/25/2021 23:22	10/2/2021 0:00	Fulfilled	9
83	9/27/2021 0:41	10/4/2021 0:00	Fulfilled	1
84	10/3/2021 2:21	10/10/2021 0:00	Fulfilled	3
85	10/5/2021 3:46	10/12/2021 0:00	Fulfilled	10
86	10/6/2021 14:14	10/13/2021 0:00	Fulfilled	12
87	10/7/2021 2:15	10/14/2021 0:00	Fulfilled	2
88	10/7/2021 15:03	10/14/2021 0:00	Fulfilled	3
89	10/13/2021 16:15	10/20/2021 0:00	Fulfilled	7
90	10/14/2021 4:29	10/21/2021 0:00	Fulfilled	12
91	10/16/2021 1:31	10/23/2021 0:00	Fulfilled	8
92	10/26/2021 12:47	11/2/2021 0:00	Fulfilled	10
93	10/27/2021 5:28	11/3/2021 0:00	Fulfilled	12
94	10/28/2021 1:06	11/4/2021 0:00	Fulfilled	2
95	10/29/2021 15:53	11/5/2021 0:00	Fulfilled	6
96	10/30/2021 20:04	11/6/2021 0:00	Fulfilled	5
97	11/2/2021 6:35	11/9/2021 0:00	Fulfilled	5
98	11/8/2021 1:45	11/15/2021 0:00	Fulfilled	11
99	11/9/2021 14:57	11/16/2021 0:00	Fulfilled	8
100	11/9/2021 5:22	11/16/2021 0:00	Fulfilled	2
101	11/9/2021 5:22	11/16/2021 0:00	Fulfilled	2
102	11/10/2021 5:22	11/17/2021 0:00	Fulfilled	5
103	11/10/2021 5:22	11/17/2021 0:00	Fulfilled	9
104	11/10/2021 5:22	11/17/2021 0:00	Fulfilled	2
105	11/11/2021 5:22	11/18/2021 0:00	Fulfilled	11
106	11/11/2021 5:22	11/18/2021 0:00	Fulfilled	5
107	11/12/2021 5:22	11/19/2021 0:00	Pending	10
108	11/12/2021 5:22	11/19/2021 0:00	Pending	9
109	11/13/2021 5:22	11/20/2021 0:00	Pending	9
110	11/14/2021 5:22	11/21/2021 0:00	Pending	1
111	11/15/2021 5:22	11/22/2021 0:00	Pending	12
112	11/16/2021 5:22	11/23/2021 0:00	Pending	2
113	11/17/2021 5:22	11/24/2021 0:00	Pending	6
114	11/18/2021 5:22	11/25/2021 0:00	Pending	6
